Scheme1,Date,Close,Adj Close,Current value Tata,Scheme 2,Close,Adj Close,Current Value Mahindra
Tata Motors,22/05/17,449.649994,449.649994,,M&M,653.525024,630.596558,
Tata Motors,23/05/17,450.5,450.5,,M&M,664.674988,641.355408,
Tata Motors,24/05/17,469.549988,469.549988,,M&M,653.75,630.81366,
Tata Motors,25/05/17,476,476,,M&M,663.075012,639.811523,
Tata Motors,26/05/17,481.100006,481.100006,,M&M,670.424988,646.903625,
Tata Motors,29/05/17,481.5,481.5,,M&M,675.474976,651.776428,
Tata Motors,30/05/17,481.299988,481.299988,,M&M,681,657.107666,
Tata Motors,31/05/17,476.149994,476.149994,,M&M,708.174988,683.329224,
Tata Motors,01/06/17,476.649994,476.649994,,M&M,712.150024,687.164795,
Tata Motors,02/06/17,478.75,478.75,,M&M,709.224976,684.342407,
Tata Motors,05/06/17,478.149994,478.149994,,M&M,711.724976,686.754639,
Tata Motors,06/06/17,461,461,,M&M,705.849976,681.085754,
Tata Motors,07/06/17,458,458,,M&M,716.375,691.241516,
Tata Motors,08/06/17,460.799988,460.799988,,M&M,708.924988,684.052917,
Tata Motors,09/06/17,467.100006,467.100006,,M&M,713.25,688.226257,
Tata Motors,12/06/17,456.25,456.25,,M&M,712.150024,687.164795,
Tata Motors,13/06/17,449.549988,449.549988,,M&M,708.674988,683.811646,
Tata Motors,14/06/17,451.950012,451.950012,,M&M,702.549988,677.90155,
Tata Motors,15/06/17,448.299988,448.299988,,M&M,694.375,670.013367,
Tata Motors,16/06/17,455.75,455.75,,M&M,694.275024,669.916931,
Tata Motors,19/06/17,452.350006,452.350006,,M&M,693.150024,668.83136,
Tata Motors,20/06/17,467.399994,467.399994,,M&M,694.849976,670.47168,
Tata Motors,21/06/17,457.299988,457.299988,,M&M,692.599976,668.300659,
Tata Motors,22/06/17,452.700012,452.700012,,M&M,698.049988,673.559448,
Tata Motors,23/06/17,443.149994,443.149994,,M&M,688.025024,663.88623,
Tata Motors,27/06/17,442.299988,442.299988,,M&M,684.950012,660.919128,
Tata Motors,28/06/17,442.5,442.5,,M&M,677.674988,653.899231,
Tata Motors,29/06/17,435.600006,435.600006,,M&M,677.875,654.092224,
Tata Motors,30/06/17,432.549988,432.549988,,M&M,673.825012,650.184387,
Tata Motors,03/07/17,430.25,430.25,,M&M,681.974976,658.048401,
Tata Motors,04/07/17,426.899994,426.899994,,M&M,677.349976,653.585632,
Tata Motors,05/07/17,431.75,431.75,,M&M,692.525024,668.228394,
Tata Motors,06/07/17,437.100006,437.100006,,M&M,688.424988,664.272156,
